Customer_ID,Age,Gender,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Target_Churn
1001,47.0,Female,130268.0,11465.99,5.0,49,233.99972136972372,6.0,7,3.0,360,No,Ignored,Stayed
1002,37.0,Female,141637.0,7909.78,2.0,25,316.391124621304,1.0,5,1.5,345,Yes,Ignored,Churn
1003,26.0,Male,104654.0,19211.94,14.0,72,266.8325304385336,8.0,2,5.0,135,Yes,Ignored,Stayed
1004,18.0,Non-Binary,93969.0,802.25,10.0,29,27.663801065702813,1.0,3,3.0,264,Yes,Unsubscribed,Stayed
1005,21.0,M,98953.0,17959.82,4.0,37,485.4006213269881,1.0,1,3.0,270,No,Ignored,Stayed
1006,56.0,Female,10000000.0,7642.91,8.0,37,206.56509905095135,1.0,4,4.0,217,Yes,Ignored,Churn
1007,48.0,Female,10000000.0,12544.86,11.0,27,464.6244216864075,1.0,8,5.0,201,No,Ignored,Churn
1008,53.0,Male,99575.0,13672.03,5.0,45,303.822938099709,5.0,2,4.0,101,No,Responded,Stayed
1009,28.0,Male,20206.0,14314.65,10.0,62,230.88152089556965,2.0,6,4.0,96,No,Ignored,Stayed
1010,27.0,Female,139324.0,1195.96,4.0,21,56.95035671782064,2.0,2,2.0,66,No,Ignored,Churn
1011,18.0,F,10000000.0,9551.15,11.0,50,191.022962276948,0.0,0,3.0,121,No,Responded,Churn
1012,36.0,Female,114856.0,22904.0,14.0,65,352.36929578732975,9.0,7,5.0,160,Yes,Responded,Stayed
1013,39.0,Male,105616.0,4885.81,8.0,33,148.0548868521368,1.0,1,4.0,343,Yes,Unsubscribed,Stayed
1014,18.0,Male,70859.0,14840.21,10.0,52,285.38868275423744,6.0,3,4.0,184,Yes,Responded,Stayed
1015,61.0,Female,100623.0,1913.72,1.0,11,173.9744311864332,1.0,2,4.0,346,Yes,Ignored,Stayed
1016,60.0,Male,10000000.0,25829.67,8.0,55,469.63039459363256,0.0,8,2.0,151,Yes,Ignored,Stayed
1017,18.0,Non-Binary,132893.0,13113.82,12.0,29,452.2006674383986,2.0,6,3.0,99,No,Responded,Stayed
1018,41.0,Male,79040.0,12665.83,8.0,27,469.1047972260548,3.0,5,4.0,254,Yes,Ignored,Stayed
1019,67.0,Female,132296.0,1175.72,4.0,41,28.676174535450016,4.0,3,3.0,135,No,Ignored,Stayed
1020,47.0,Female,10000000.0,4936.14,7.0,36,137.11502882196012,5.0,5,3.0,264,No,Responded,Stayed
1021,36.0,Male,60764.0,316.72,3.0,10,31.671663887097843,0.0,0,5.0,158,No,Unsubscribed,Stayed
1022,80.0,F,10000000.0,21399.54,13.0,75,285.3271840810352,13.5,2,5.0,116,Yes,Ignored,Stayed
1023,26.0,Female,140542.0,4404.44,6.0,15,293.6293616428952,3.0,1,4.0,342,Yes,Ignored,Stayed
1024,32.0,Male,47751.0,3929.12,1.0,11,357.19236031381246,2.0,9,5.0,355,Yes,Ignored,Churn
1025,31.0,Female,144046.0,3776.46,12.0,58,65.11133112361712,6.0,5,3.0,186,Yes,Ignored,Stayed
1026,38.0,woman,128211.0,4304.75,10.0,26,165.56744704314696,3.0,4,4.0,53,Yes,Unsubscribed,Stayed
1027,34.0,Male,100738.0,19900.29,7.0,54,368.5238401868775,1.0,9,3.0,145,Yes,Ignored,Stayed
1028,46.0,Female,52217.0,7444.5,5.0,33,225.5909479712517,3.0,4,1.5,122,Yes,Ignored,Stayed
1029,54.0,Male,23343.0,21801.87,13.0,65,335.4134376800801,4.0,5,4.0,76,Yes,Ignored,Churn
1030,58.0,Male,29435.0,2254.34,5.0,57,39.54982511310567,3.0,4,4.0,218,True,Responded,Stayed
1031,71.0,Male,99605.0,1920.31,5.0,46,41.74592469058137,9.0,9,5.0,96,No,Ignored,Churn
1032,32.0,Male,124182.0,23121.54,2.0,53,436.2554881064018,10.0,3,4.0,178,Yes,Ignored,Stayed
1033,46.0,Female,131783.0,7180.72,10.0,63,113.97974469886228,12.0,1,1.5,242,No,Ignored,Stayed
1034,57.0,Female,95353.0,8998.27,14.0,62,145.1333735532335,6.0,3,4.0,114,No,Responded,Stayed
1035,30.0,Female,38888.0,25267.57,8.0,51,495.4424681603232,3.0,1,3.0,96,Yes,Unsubscribed,Stayed
1036,53.0,Male,91180.0,5239.78,7.0,39,134.35335315391012,5.0,0,4.0,84,No,Ignored,Stayed
1037,44.0,Female,10000000.0,4018.43,10.0,67,59.97651737372463,4.0,2,4.0,53,No,Responded,Churn
1038,38.0,Female,31174.0,2762.27,14.0,59,46.81815424512802,2.0,6,4.0,331,Y,Ignored,Stayed
1039,27.0,Male,66732.0,12202.78,8.0,58,210.3927689380409,10.0,9,2.0,29,Yes,Unsubscribed,Stayed
1040,43.0,Male,126995.0,4439.52,1.0,9,493.2805106349781,1.0,3,3.0,275,No,Ignored,Stayed
1041,35.0,Male,143961.0,13977.13,4.0,36,388.2535294921144,6.0,8,4.0,348,No,Ignored,Stayed
1042,39.0,Female,123333.0,6480.2,5.0,16,405.01243953283233,0.0,4,1.5,213,No,Ignored,Stayed
1043,40.0,Female,58413.0,2262.78,1.0,5,452.55584503567474,0.0,9,5.0,358,True,Ignored,Stayed
1044,47.0,Male,81529.0,2521.76,8.0,44,57.312625743192726,8.0,3,5.0,145,Yes,Ignored,Stayed
1045,30.0,Male,65445.0,2829.95,2.0,9,314.4392940491791,1.0,9,5.0,242,Yes,Ignored,Stayed
1046,33.0,Female,120497.0,3967.38,1.0,13,305.1827433690249,2.0,8,4.0,283,Yes,Ignored,Churn
1047,43.0,Female,29860.0,4299.11,6.0,15,286.6072186892612,0.0,4,5.0,83,Yes,Ignored,Churn
1048,32.0,Female,37100.0,3081.75,4.0,9,342.41632851481125,1.0,1,3.0,72,Yes,Ignored,Stayed
1049,32.0,Female,93963.0,17631.75,5.0,40,440.7937292760056,8.0,0,2.0,303,Y,Responded,Stayed
1050,53.0,Female,79494.0,8660.97,6.0,46,188.28202822716656,1.0,1,3.0,347,Yes,Responded,Stayed
1051,52.0,Male,72329.0,10942.71,3.0,23,475.7698993556682,3.0,9,5.0,330,No,Ignored,Churn
1052,82.5,Female,25569.0,20578.01,13.0,69,298.2319685464344,10.0,2,4.0,151,Yes,Ignored,Churn
1053,23.0,Male,10000000.0,11234.11,3.0,33,340.427714490093,3.0,9,3.0,277,Yes,Ignored,Churn
1054,47.0,Female,149668.0,3571.21,9.0,30,119.0401848347804,1.0,0,4.0,301,Yes,Ignored,Stayed
1055,41.0,F,138831.0,6574.75,13.0,43,152.90127111065777,0.0,7,4.0,253,No,Ignored,Stayed
1056,69.0,Male,48699.0,6776.47,7.0,28,242.01666374391095,4.0,9,1.5,312,Yes,Ignored,Stayed
1057,34.0,Male,66271.0,5912.29,9.0,55,107.49626166845988,6.0,8,5.0,86,Yes,Ignored,Stayed
1058,53.0,Female,128099.0,7623.0,10.0,23,331.4349633399565,1.0,3,4.0,34,Yes,Ignored,Stayed
1059,18.0,Female,68447.0,8749.8,2.0,49,178.56727101483872,8.0,0,1.5,277,Yes,Ignored,Churn
1060,22.0,Male,96125.0,1462.8,8.0,25,58.51219791758826,2.0,7,4.0,223,No,Ignored,Stayed
1061,66.0,Female,73441.0,7463.32,11.0,30,248.7773523806777,4.0,4,2.0,118,No,Ignored,Stayed
1062,38.0,Female,10000000.0,5390.45,10.0,34,158.54266555532277,4.0,3,3.0,259,Yes,Ignored,Churn
1063,55.0,Male,83076.0,2660.49,9.0,35,76.01411078800703,6.0,7,4.0,94,Yes,Responded,Stayed
1064,31.0,Female,87444.0,12700.89,8.0,27,470.40341927409816,3.0,2,1.5,296,No,Ignored,Stayed
1065,47.0,Female,144194.0,19316.81,5.0,47,410.9958657110634,3.0,3,3.0,42,Yes,Responded,Stayed
1066,82.5,Male,31954.0,17862.07,13.0,64,279.09490971902386,0.0,8,3.0,309,No,Ignored,Churn
1067,42.0,Male,107487.0,10160.07,4.0,23,441.74197537925033,0.0,3,4.0,157,Yes,Ignored,Stayed
1068,48.0,M,123677.0,10882.52,4.0,30,362.7507594673348,4.0,9,3.0,294,Yes,Ignored,Stayed
1069,40.0,Female,146108.0,7810.07,4.0,20,390.5033506871577,2.0,2,4.0,292,No,Ignored,Stayed
